"expIndex","subject","scenario","round","pset_selected","target","weak_math","strong_math","agent_selected"
"exp3",14,6,3,2,12.5,4.67,8,1
"exp3",14,7,0,NA,13.5,3,9,NA
"exp3",14,7,1,2,13.5,3.66,9,1
"exp3",14,7,2,2,13.5,4.2,9,1
"exp3",14,7,3,2,13.5,4.67,9,1
"exp3",14,8,0,NA,15,5,8,NA
"exp3",14,8,1,8,15,5,9,2
"exp3",14,8,2,4,15,5.8,9,1
"exp3",14,8,3,2,15,6.14,9,1
"exp3",15,1,0,NA,11,2,8,NA
"exp3",15,1,1,8,11,2,8,1
"exp3",15,1,2,2,11,2,8.25,2
"exp3",15,1,3,2,11,3,8.25,1
"exp3",15,2,0,NA,12,3,8,NA
"exp3",15,2,1,8,12,3,9,2
"exp3",15,2,2,0,12,3,9,0
"exp3",15,2,3,0,12,3,9,0
"exp3",15,3,0,NA,13,3,9,NA
"exp3",15,3,1,2,13,3.66,9,1
"exp3",15,3,2,2,13,4.2,9,1
"exp3",15,3,3,0,13,4.2,9,0
"exp3",15,4,0,NA,13.5,5,8,NA
"exp3",15,4,1,8,13.5,5,9,2
"exp3",15,4,2,0,13.5,5,9,0
"exp3",15,4,3,0,13.5,5,9,0
"exp3",15,5,0,NA,12,2,8,NA
"exp3",15,5,1,2,12,3,8,1
"exp3",15,5,2,2,12,3.66,8,1
"exp3",15,5,3,8,12,3.66,9,2
"exp3",15,6,0,NA,12.5,3,8,NA
"exp3",15,6,1,8,12.5,3,9,2
"exp3",15,6,2,2,12.5,3.66,9,1
"exp3",15,6,3,0,12.5,3.66,9,0
"exp3",15,7,0,NA,13.5,3,9,NA
"exp3",15,7,1,2,13.5,3.66,9,1
"exp3",15,7,2,2,13.5,4.2,9,1
"exp3",15,7,3,0,13.5,4.2,9,0
"exp3",15,8,0,NA,15,5,8,NA
"exp3",15,8,1,8,15,5,9,2
"exp3",15,8,2,4,15,5.8,9,1
"exp3",15,8,3,4,15,6.48,9,1
"exp3",16,1,0,NA,11,2,8,NA
"exp3",16,1,1,8,11,2,9,2
"exp3",16,1,2,8,11,2,9.88,2
"exp3",16,1,3,8,11,2,10.68,2
"exp3",16,2,0,NA,12,3,8,NA
"exp3",16,2,1,8,12,3,9,2
"exp3",16,2,2,8,12,3,9.88,2
"exp3",16,2,3,8,12,3,10.68,2
"exp3",16,3,0,NA,13,3,9,NA
"exp3",16,3,1,8,13,3,9,1
"exp3",16,3,2,8,13,3,9.88,2
"exp3",16,3,3,8,13,3,10.68,2
"exp3",16,4,0,NA,13.5,5,8,NA
"exp3",16,4,1,6,13.5,5,8.75,2
"exp3",16,4,2,4,13.5,5.8,8.75,1
"exp3",16,4,3,8,13.5,5.8,9.66,2
"exp3",16,5,0,NA,12,2,8,NA
"exp3",16,5,1,2,12,3,8,1
"exp3",16,5,2,2,12,3.66,8,1
"exp3",16,5,3,2,12,4.2,8,1
"exp3",16,6,0,NA,12.5,3,8,NA
"exp3",16,6,1,8,12.5,3,9,2
"exp3",16,6,2,2,12.5,3.66,9,1
"exp3",16,6,3,8,12.5,3.66,9.88,2
"exp3",16,7,0,NA,13.5,3,9,NA
"exp3",16,7,1,8,13.5,3,9.88,2
"exp3",16,7,2,2,13.5,3.66,9.88,1
"exp3",16,7,3,8,13.5,3.66,9.88,1
"exp3",16,8,0,NA,15,5,8,NA
"exp3",16,8,1,8,15,5,9,2
"exp3",16,8,2,8,15,5,9.88,2
"exp3",16,8,3,4,15,5.8,9.88,1
"exp3",17,1,0,NA,11,2,8,NA
"exp3",17,1,1,4,11,2,8.5,2
"exp3",17,1,2,4,11,2,8.97,2
"exp3",17,1,3,2,11,2,9.19,2
"exp3",17,2,0,NA,12,3,8,NA
"exp3",17,2,1,4,12,3,8,1
"exp3",17,2,2,4,12,3,8.5,2
"exp3",17,2,3,6,12,3,9.2,2
"exp3",17,3,0,NA,13,3,9,NA
"exp3",17,3,1,2,13,3,9.22,2
"exp3",17,3,2,2,13,3,9.43,2
"exp3",17,3,3,4,13,3,9.85,2
"exp3",17,4,0,NA,13.5,5,8,NA
"exp3",17,4,1,2,13.5,5,8.25,2
"exp3",17,4,2,4,13.5,5,8.73,2
"exp3",17,4,3,6,13.5,5,9.41,2
"exp3",17,5,0,NA,12,2,8,NA
"exp3",17,5,1,4,12,2,8.5,2
"exp3",17,5,2,6,12,2,9.2,2
"exp3",17,5,3,2,12,2,9.41,2
"exp3",17,6,0,NA,12.5,3,8,NA
"exp3",17,6,1,4,12.5,3,8,1
"exp3",17,6,2,4,12.5,3,8.5,2
"exp3",17,6,3,4,12.5,3,8.97,2
"exp3",17,7,0,NA,13.5,3,9,NA
"exp3",17,7,1,2,13.5,3,9.22,2
"exp3",17,7,2,4,13.5,3,9.65,2
"exp3",17,7,3,2,13.5,3,9.85,2
"exp3",17,8,0,NA,15,5,8,NA
"exp3",17,8,1,4,15,5,8.5,2
"exp3",17,8,2,2,15,5,8.73,2
"exp3",17,8,3,4,15,5,9.18,2
"exp3",18,1,0,NA,11,2,8,NA
"exp3",18,1,1,2,11,3,8,1
"exp3",18,1,2,0,11,3,8,0
"exp3",18,1,3,0,11,3,8,0
"exp3",18,2,0,NA,12,3,8,NA
"exp3",18,2,1,2,12,3.66,8,1
"exp3",18,2,2,2,12,4.2,8,1
"exp3",18,2,3,0,12,4.2,8,0
"exp3",18,3,0,NA,13,3,9,NA
"exp3",18,3,1,2,13,3.66,9,1
"exp3",18,3,2,2,13,4.2,9,1
"exp3",18,3,3,0,13,4.2,9,0
"exp3",18,4,0,NA,13.5,5,8,NA
"exp3",18,4,1,2,13.5,5.4,8,1
"exp3",18,4,2,2,13.5,5.77,8,1
"exp3",18,4,3,0,13.5,5.77,8,0
"exp3",18,5,0,NA,12,2,8,NA
"exp3",18,5,1,2,12,3,8,1
"exp3",18,5,2,2,12,3.66,8,1
"exp3",18,5,3,2,12,4.2,8,1
"exp3",18,6,0,NA,12.5,3,8,NA
"exp3",18,6,1,2,12.5,3.66,8,1
"exp3",18,6,2,2,12.5,4.2,8,1
"exp3",18,6,3,2,12.5,4.67,8,1
"exp3",18,7,0,NA,13.5,3,9,NA
"exp3",18,7,1,2,13.5,3.66,9,1
"exp3",18,7,2,2,13.5,4.2,9,1
"exp3",18,7,3,2,13.5,4.67,9,1
"exp3",18,8,0,NA,15,5,8,NA
"exp3",18,8,1,4,15,5.8,8,1
"exp3",18,8,2,4,15,6.48,8,1
"exp3",18,8,3,4,15,7.09,8,1
"exp3",19,1,0,NA,11,2,8,NA
"exp3",19,1,1,2,11,3,8,1
"exp3",19,1,2,0,11,3,8,0
"exp3",19,1,3,0,11,3,8,0
"exp3",19,2,0,NA,12,3,8,NA
"exp3",19,2,1,2,12,3.66,8,1
"exp3",19,2,2,2,12,4.2,8,1
"exp3",19,2,3,0,12,4.2,8,0
"exp3",19,3,0,NA,13,3,9,NA
"exp3",19,3,1,2,13,3.66,9,1
"exp3",19,3,2,2,13,4.2,9,1
"exp3",19,3,3,0,13,4.2,9,0
"exp3",19,4,0,NA,13.5,5,8,NA
"exp3",19,4,1,4,13.5,5.8,8,1
"exp3",19,4,2,0,13.5,5.8,8,0
