"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",14,4,0,NA,13.5,5,8,NA
"exp1",14,4,1,2,13.5,5,8.25,2
"exp1",14,4,2,2,13.5,5.4,8.25,1
"exp1",14,4,3,2,13.5,5.4,8.49,2
"exp1",15,1,0,NA,11,2,8,NA
"exp1",15,1,1,2,11,3,8,1
"exp1",15,1,2,0,11,3,8,0
"exp1",15,1,3,0,11,3,8,0
"exp1",15,2,0,NA,12,3,8,NA
"exp1",15,2,1,8,12,3,9,2
"exp1",15,2,2,0,12,3,9,0
"exp1",15,2,3,0,12,3,9,0
"exp1",15,3,0,NA,13,3,9,NA
"exp1",15,3,1,2,13,3.66,9,1
"exp1",15,3,2,2,13,4.2,9,1
"exp1",15,3,3,0,13,4.2,9,0
"exp1",15,4,0,NA,13.5,5,8,NA
"exp1",15,4,1,4,13.5,5.8,8,1
"exp1",15,4,2,0,13.5,5.8,8,0
"exp1",15,4,3,0,13.5,5.8,8,0
"exp1",16,1,0,NA,11,2,8,NA
"exp1",16,1,1,8,11,2,9,2
"exp1",16,1,2,2,11,3,9,1
"exp1",16,1,3,0,11,3,9,0
"exp1",16,2,0,NA,12,3,8,NA
"exp1",16,2,1,8,12,3,9,2
"exp1",16,2,2,8,12,3,9.88,2
"exp1",16,2,3,8,12,3,10.68,2
"exp1",16,3,0,NA,13,3,9,NA
"exp1",16,3,1,2,13,3.66,9,1
"exp1",16,3,2,2,13,4.2,9,1
"exp1",16,3,3,0,13,4.2,9,0
"exp1",16,4,0,NA,13.5,5,8,NA
"exp1",16,4,1,8,13.5,5,9,2
"exp1",16,4,2,0,13.5,5,9,0
"exp1",16,4,3,0,13.5,5,9,0
"exp1",17,1,0,NA,11,2,8,NA
"exp1",17,1,1,2,11,3,8,1
"exp1",17,1,2,0,11,3,8,0
"exp1",17,1,3,0,11,3,8,0
"exp1",17,2,0,NA,12,3,8,NA
"exp1",17,2,1,8,12,3,9,2
"exp1",17,2,2,0,12,3,9,0
"exp1",17,2,3,0,12,3,9,0
"exp1",17,3,0,NA,13,3,9,NA
"exp1",17,3,1,2,13,3.66,9,1
"exp1",17,3,2,2,13,4.2,9,1
"exp1",17,3,3,0,13,4.2,9,0
"exp1",17,4,0,NA,13.5,5,8,NA
"exp1",17,4,1,8,13.5,5,9,2
"exp1",17,4,2,4,13.5,5.8,9,1
"exp1",17,4,3,0,13.5,5.8,9,0
"exp1",18,1,0,NA,11,2,8,NA
"exp1",18,1,1,8,11,2,9,2
"exp1",18,1,2,2,11,3,9,1
"exp1",18,1,3,8,11,3,9.88,2
"exp1",18,2,0,NA,12,3,8,NA
"exp1",18,2,1,8,12,3,9,2
"exp1",18,2,2,0,12,3,9,0
"exp1",18,2,3,0,12,3,9,0
"exp1",18,3,0,NA,13,3,9,NA
"exp1",18,3,1,8,13,3,9,1
"exp1",18,3,2,8,13,3,9.88,2
"exp1",18,3,3,8,13,3,10.68,2
"exp1",18,4,0,NA,13.5,5,8,NA
"exp1",18,4,1,8,13.5,5,8,1
"exp1",18,4,2,8,13.5,5,9,2
"exp1",18,4,3,8,13.5,5,9.88,2
"exp1",19,1,0,NA,11,2,8,NA
"exp1",19,1,1,2,11,2,8.25,2
"exp1",19,1,2,2,11,3,8.25,1
"exp1",19,1,3,0,11,3,8.25,0
"exp1",19,2,0,NA,12,3,8,NA
"exp1",19,2,1,2,12,3.66,8,1
"exp1",19,2,2,2,12,4.2,8,1
"exp1",19,2,3,0,12,4.2,8,0
"exp1",19,3,0,NA,13,3,9,NA
"exp1",19,3,1,2,13,3.66,9,1
"exp1",19,3,2,2,13,4.2,9,1
"exp1",19,3,3,0,13,4.2,9,0
"exp1",19,4,0,NA,13.5,5,8,NA
"exp1",19,4,1,4,13.5,5.8,8,1
"exp1",19,4,2,0,13.5,5.8,8,0
"exp1",19,4,3,0,13.5,5.8,8,0
"exp1",20,1,0,NA,11,2,8,NA
"exp1",20,1,1,2,11,3,8,1
"exp1",20,1,2,0,11,3,8,0
"exp1",20,1,3,0,11,3,8,0
"exp1",20,2,0,NA,12,3,8,NA
"exp1",20,2,1,8,12,3,9,2
"exp1",20,2,2,0,12,3,9,0
"exp1",20,2,3,0,12,3,9,0
"exp1",20,3,0,NA,13,3,9,NA
"exp1",20,3,1,8,13,3,9.88,2
"exp1",20,3,2,2,13,3.66,9.88,1
"exp1",20,3,3,0,13,3.66,9.88,0
"exp1",20,4,0,NA,13.5,5,8,NA
"exp1",20,4,1,8,13.5,5,9,2
"exp1",20,4,2,4,13.5,5.8,9,1
"exp1",20,4,3,0,13.5,5.8,9,0
"exp1",21,1,0,NA,11,2,8,NA
"exp1",21,1,1,8,11,2,9,2
"exp1",21,1,2,0,11,2,9,0
"exp1",21,1,3,0,11,2,9,0
"exp1",21,2,0,NA,12,3,8,NA
"exp1",21,2,1,8,12,3,9,2
"exp1",21,2,2,0,12,3,9,0
"exp1",21,2,3,0,12,3,9,0
"exp1",21,3,0,NA,13,3,9,NA
"exp1",21,3,1,0,13,3,9,0
"exp1",21,3,2,0,13,3,9,0
"exp1",21,3,3,0,13,3,9,0
"exp1",21,4,0,NA,13.5,5,8,NA
"exp1",21,4,1,8,13.5,5,9,2
"exp1",21,4,2,0,13.5,5,9,0
"exp1",21,4,3,0,13.5,5,9,0
"exp1",22,1,0,NA,11,2,8,NA
"exp1",22,1,1,8,11,2,9,2
"exp1",22,1,2,8,11,2,9.88,2
"exp1",22,1,3,8,11,2,10.68,2
"exp1",22,2,0,NA,12,3,8,NA
"exp1",22,2,1,8,12,3,8,1
"exp1",22,2,2,8,12,3,8,1
"exp1",22,2,3,8,12,3,9,2
"exp1",22,3,0,NA,13,3,9,NA
"exp1",22,3,1,8,13,3,9.88,2
"exp1",22,3,2,8,13,3,10.68,2
"exp1",22,3,3,8,13,3,11.42,2
"exp1",22,4,0,NA,13.5,5,8,NA
"exp1",22,4,1,8,13.5,5,9,2
"exp1",22,4,2,8,13.5,5,9.88,2
"exp1",22,4,3,8,13.5,5,10.68,2
"exp1",23,1,0,NA,11,2,8,NA
"exp1",23,1,1,8,11,2,9,2
"exp1",23,1,2,2,11,3,9,1
"exp1",23,1,3,2,11,3.66,9,1
"exp1",23,2,0,NA,12,3,8,NA
"exp1",23,2,1,2,12,3.66,8,1
"exp1",23,2,2,8,12,3.66,9,2
"exp1",23,2,3,8,12,3.66,9.88,2
"exp1",23,3,0,NA,13,3,9,NA
"exp1",23,3,1,8,13,3,9.88,2
"exp1",23,3,2,0,13,3,9.88,0
"exp1",23,3,3,2,13,3.66,9.88,1
"exp1",23,4,0,NA,13.5,5,8,NA
"exp1",23,4,1,8,13.5,5,9,2
"exp1",23,4,2,8,13.5,5,9.88,2
"exp1",23,4,3,4,13.5,5.8,9.88,1
"exp1",24,1,0,NA,11,2,8,NA
"exp1",24,1,1,2,11,3,8,1
"exp1",24,1,2,2,11,3.66,8,1
"exp1",24,1,3,2,11,4.2,8,1
"exp1",24,2,0,NA,12,3,8,NA
"exp1",24,2,1,2,12,3.66,8,1
"exp1",24,2,2,2,12,4.2,8,1
"exp1",24,2,3,0,12,4.2,8,0
"exp1",24,3,0,NA,13,3,9,NA
"exp1",24,3,1,2,13,3.66,9,1
"exp1",24,3,2,2,13,4.2,9,1
"exp1",24,3,3,0,13,4.2,9,0
"exp1",24,4,0,NA,13.5,5,8,NA
"exp1",24,4,1,4,13.5,5.8,8,1
"exp1",24,4,2,0,13.5,5.8,8,0
"exp1",24,4,3,0,13.5,5.8,8,0
"exp1",25,1,0,NA,11,2,8,NA
"exp1",25,1,1,2,11,3,8,1
"exp1",25,1,2,0,11,3,8,0
"exp1",25,1,3,0,11,3,8,0
"exp1",25,2,0,NA,12,3,8,NA
"exp1",25,2,1,8,12,3,9,2
"exp1",25,2,2,0,12,3,9,0
"exp1",25,2,3,0,12,3,9,0
"exp1",25,3,0,NA,13,3,9,NA
"exp1",25,3,1,2,13,3.66,9,1
"exp1",25,3,2,2,13,4.2,9,1
"exp1",25,3,3,0,13,4.2,9,0
"exp1",25,4,0,NA,13.5,5,8,NA
"exp1",25,4,1,4,13.5,5.8,8,1
"exp1",25,4,2,0,13.5,5.8,8,0
"exp1",25,4,3,0,13.5,5.8,8,0
"exp1",26,1,0,NA,11,2,8,NA
"exp1",26,1,1,2,11,3,8,1
"exp1",26,1,2,0,11,3,8,0
"exp1",26,1,3,0,11,3,8,0
"exp1",26,2,0,NA,12,3,8,NA
"exp1",26,2,1,2,12,3.66,8,1
"exp1",26,2,2,2,12,4.2,8,1
"exp1",26,2,3,0,12,4.2,8,0
"exp1",26,3,0,NA,13,3,9,NA
"exp1",26,3,1,2,13,3.66,9,1
"exp1",26,3,2,2,13,4.2,9,1
"exp1",26,3,3,0,13,4.2,9,0
"exp1",26,4,0,NA,13.5,5,8,NA
"exp1",26,4,1,2,13.5,5,8.25,2
"exp1",26,4,2,2,13.5,5.4,8.25,1
"exp1",26,4,3,0,13.5,5.4,8.25,0
"exp1",27,1,0,NA,11,2,8,NA
"exp1",27,1,1,8,11,2,9,2
"exp1",27,1,2,0,11,2,9,0
"exp1",27,1,3,0,11,2,9,0
"exp1",27,2,0,NA,12,3,8,NA
"exp1",27,2,1,4,12,3,8,1
"exp1",27,2,2,8,12,3,9,2
"exp1",27,2,3,0,12,3,9,0
"exp1",27,3,0,NA,13,3,9,NA
"exp1",27,3,1,2,13,3.66,9,1
"exp1",27,3,2,2,13,4.2,9,1
"exp1",27,3,3,0,13,4.2,9,0
"exp1",27,4,0,NA,13.5,5,8,NA
"exp1",27,4,1,4,13.5,5.8,8,1
"exp1",27,4,2,4,13.5,6.48,8,1
"exp1",27,4,3,0,13.5,6.48,8,0
"exp1",28,1,0,NA,11,2,8,NA
"exp1",28,1,1,2,11,3,8,1
"exp1",28,1,2,0,11,3,8,0
"exp1",28,1,3,0,11,3,8,0
"exp1",28,2,0,NA,12,3,8,NA
"exp1",28,2,1,2,12,3.66,8,1
"exp1",28,2,2,2,12,4.2,8,1
"exp1",28,2,3,0,12,4.2,8,0
"exp1",28,3,0,NA,13,3,9,NA
"exp1",28,3,1,2,13,3.66,9,1
"exp1",28,3,2,2,13,4.2,9,1
"exp1",28,3,3,0,13,4.2,9,0
"exp1",28,4,0,NA,13.5,5,8,NA
"exp1",28,4,1,4,13.5,5.8,8,1
"exp1",28,4,2,0,13.5,5.8,8,0
"exp1",28,4,3,0,13.5,5.8,8,0
"exp1",29,1,0,NA,11,2,8,NA
"exp1",29,1,1,4,11,2,8,1
"exp1",29,1,2,2,11,2,8.25,2
"exp1",29,1,3,4,11,2,8.25,1
"exp1",29,2,0,NA,12,3,8,NA
"exp1",29,2,1,4,12,3,8,1
"exp1",29,2,2,2,12,3,8.25,2
"exp1",29,2,3,4,12,3,8.25,1
"exp1",29,3,0,NA,13,3,9,NA
"exp1",29,3,1,2,13,3.66,9,1
"exp1",29,3,2,2,13,4.2,9,1
"exp1",29,3,3,2,13,4.2,9.22,2
"exp1",29,4,0,NA,13.5,5,8,NA
"exp1",29,4,1,2,13.5,5.4,8,1
