"expIndex","subject","target","round","weak_strength","strong_strength","agent_selected","weight_selected","scenario","team"
"exp2-2",24,61,2,20.49,40,1,4,3,"<20,40>"
"exp2-2",24,61,3,20.58,40,1,2,3,"<20,40>"
"exp2-2",25,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",25,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",25,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",25,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",25,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",25,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",25,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",25,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",25,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",25,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",25,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",25,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",26,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",26,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",26,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",26,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",26,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",26,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",26,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",26,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",26,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",26,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",26,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",26,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",27,24,0,2,8,NA,NA,1,"<2,8>"
"exp2-2",27,24,1,3,8,1,2,1,"<2,8>"
"exp2-2",27,24,2,3.66,8,1,2,1,"<2,8>"
"exp2-2",27,24,3,3.66,8,0,0,1,"<2,8>"
"exp2-2",27,50,0,2,8,NA,NA,2,"<2,8>"
"exp2-2",27,50,1,3,8,1,2,2,"<2,8>"
"exp2-2",27,50,2,3,9,2,8,2,"<2,8>"
"exp2-2",27,50,3,3.66,9,1,2,2,"<2,8>"
"exp2-2",27,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",27,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",27,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",27,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",28,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",28,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",28,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",28,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",28,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",28,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",28,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",28,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",28,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",28,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",28,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",28,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",29,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",29,24,1,9,20,1,8,1,"<8,20>"
"exp2-2",29,24,2,9.88,20,1,8,1,"<8,20>"
"exp2-2",29,24,3,10.68,20,1,8,1,"<8,20>"
"exp2-2",29,50,0,8,20,NA,NA,2,"<8,20>"
"exp2-2",29,50,1,9,20,1,8,2,"<8,20>"
"exp2-2",29,50,2,9.88,20,1,8,2,"<8,20>"
"exp2-2",29,50,3,10.68,20,1,8,2,"<8,20>"
"exp2-2",29,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",29,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",29,61,2,20.4,40.2,2,8,3,"<20,40>"
"exp2-2",29,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp2-2",30,24,0,2,40,NA,NA,1,"<2,40>"
"exp2-2",30,24,1,2,40.2,2,8,1,"<2,40>"
