"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",21,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",21,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",21,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",21,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",22,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",22,24,1,2,20,1,4,1,"<2,20>"
"exp4",22,24,2,2,20,1,4,1,"<2,20>"
"exp4",22,24,3,3,20,1,2,1,"<2,20>"
"exp4",22,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",22,50,1,20.4,40,1,8,2,"<20,40>"
"exp4",22,50,2,20.79,40,1,8,2,"<20,40>"
"exp4",22,50,3,21.17,40,1,8,2,"<20,40>"
"exp4",22,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",22,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",22,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",22,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",23,24,0,20,40,NA,NA,1,"<20,40>"
"exp4",23,24,1,20.1,40,1,2,1,"<20,40>"
"exp4",23,24,2,20.1,40.1,2,4,1,"<20,40>"
"exp4",23,24,3,20.19,40.1,1,2,1,"<20,40>"
"exp4",23,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",23,50,1,20.1,40,1,2,2,"<20,40>"
"exp4",23,50,2,20.1,40.05,2,2,2,"<20,40>"
"exp4",23,50,3,20.19,40.05,1,2,2,"<20,40>"
"exp4",23,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",23,61,1,20.1,40,1,2,3,"<20,40>"
"exp4",23,61,2,20.19,40,1,2,3,"<20,40>"
"exp4",23,61,3,20.19,40.1,2,4,3,"<20,40>"
"exp4",24,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",24,24,1,8,20.3,2,6,1,"<8,20>"
"exp4",24,24,2,8.75,20.3,1,6,1,"<8,20>"
"exp4",24,24,3,8.75,20.59,2,6,1,"<8,20>"
"exp4",24,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",24,50,1,8,40.2,2,8,2,"<8,40>"
"exp4",24,50,2,8.75,40.2,1,6,2,"<8,40>"
"exp4",24,50,3,9.43,40.2,1,6,2,"<8,40>"
"exp4",24,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",24,61,1,20,40.1,2,4,3,"<20,40>"
"exp4",24,61,2,20,40.1,0,0,3,"<20,40>"
"exp4",24,61,3,20.1,40.1,1,2,3,"<20,40>"
"exp4",25,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",25,24,1,2,20.4,2,8,1,"<2,20>"
"exp4",25,24,2,2,20.4,1,4,1,"<2,20>"
"exp4",25,24,3,2,20.79,2,8,1,"<2,20>"
"exp4",25,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",25,50,1,8.25,40,1,2,2,"<8,40>"
"exp4",25,50,2,8.97,40,1,6,2,"<8,40>"
"exp4",25,50,3,8.97,40.2,2,8,2,"<8,40>"
"exp4",25,61,0,8,20,NA,NA,3,"<8,20>"
"exp4",25,61,1,8.25,20,1,2,3,"<8,20>"
"exp4",25,61,2,8.73,20,1,4,3,"<8,20>"
"exp4",25,61,3,8.73,20.4,2,8,3,"<8,20>"
"exp4",26,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",26,24,1,8,20,0,0,1,"<8,20>"
"exp4",26,24,2,8,20,0,0,1,"<8,20>"
"exp4",26,24,3,8,20,0,0,1,"<8,20>"
"exp4",26,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",26,50,1,20,40,0,0,2,"<20,40>"
"exp4",26,50,2,20,40,0,0,2,"<20,40>"
"exp4",26,50,3,20,40,0,0,2,"<20,40>"
"exp4",26,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",26,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",26,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp4",26,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",27,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",27,24,1,8,20,0,0,1,"<8,20>"
"exp4",27,24,2,8,20,0,0,1,"<8,20>"
"exp4",27,24,3,8,20,0,0,1,"<8,20>"
"exp4",27,50,0,8,20,NA,NA,2,"<8,20>"
"exp4",27,50,1,9,20,1,8,2,"<8,20>"
"exp4",27,50,2,9.88,20,1,8,2,"<8,20>"
"exp4",27,50,3,10.68,20,1,8,2,"<8,20>"
"exp4",27,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",27,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",27,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",27,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",28,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",28,24,1,3,20,1,2,1,"<2,20>"
"exp4",28,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",28,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",28,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",28,50,1,9,40,1,8,2,"<8,40>"
"exp4",28,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",28,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",28,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",28,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",28,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",28,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",29,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",29,24,1,3,20,1,2,1,"<2,20>"
"exp4",29,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",29,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",29,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",29,50,1,20,40,0,0,2,"<20,40>"
"exp4",29,50,2,20,40,0,0,2,"<20,40>"
"exp4",29,50,3,20,40,0,0,2,"<20,40>"
"exp4",29,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",29,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",29,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",29,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",30,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",30,24,1,8,20,0,0,1,"<8,20>"
"exp4",30,24,2,8,20,0,0,1,"<8,20>"
"exp4",30,24,3,8,20,0,0,1,"<8,20>"
"exp4",30,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",30,50,1,20.4,40,1,8,2,"<20,40>"
"exp4",30,50,2,20.4,40,0,0,2,"<20,40>"
"exp4",30,50,3,20.4,40,0,0,2,"<20,40>"
"exp4",30,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",30,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",30,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",30,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",31,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",31,24,1,3,20,1,2,1,"<2,20>"
"exp4",31,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",31,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",31,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",31,50,1,8.75,40,1,6,2,"<8,40>"
"exp4",31,50,2,9.66,40,1,8,2,"<8,40>"
"exp4",31,50,3,10.48,40,1,8,2,"<8,40>"
"exp4",31,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",31,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",31,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",31,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",32,24,0,20,40,NA,NA,1,"<20,40>"
"exp4",32,24,1,20.4,40,1,8,1,"<20,40>"
"exp4",32,24,2,20.79,40,1,8,1,"<20,40>"
"exp4",32,24,3,21.17,40,1,8,1,"<20,40>"
"exp4",32,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",32,50,1,20,40,0,2,2,"<20,40>"
"exp4",32,50,2,20.1,40,1,2,2,"<20,40>"
"exp4",32,50,3,20.49,40,1,8,2,"<20,40>"
"exp4",32,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",32,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",32,61,2,20,40.39,2,8,3,"<20,40>"
"exp4",32,61,3,20,40.58,2,8,3,"<20,40>"
"exp4",33,24,0,20,40,NA,NA,1,"<20,40>"
"exp4",33,24,1,20.4,40,1,8,1,"<20,40>"
"exp4",33,24,2,20.79,40,1,8,1,"<20,40>"
"exp4",33,24,3,21.17,40,1,8,1,"<20,40>"
"exp4",33,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",33,50,1,20.4,40,1,8,2,"<20,40>"
"exp4",33,50,2,20.79,40,1,8,2,"<20,40>"
"exp4",33,50,3,21.17,40,1,8,2,"<20,40>"
"exp4",33,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",33,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",33,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",33,61,3,20.79,40.2,2,8,3,"<20,40>"
"exp4",34,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",34,24,1,8,20,0,0,1,"<8,20>"
"exp4",34,24,2,8,20,0,0,1,"<8,20>"
"exp4",34,24,3,8,20,0,0,1,"<8,20>"
"exp4",34,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",34,50,1,9,40,1,8,2,"<8,40>"
"exp4",34,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",34,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",34,61,0,8,40,NA,NA,3,"<8,40>"
"exp4",34,61,1,9,40,1,8,3,"<8,40>"
"exp4",34,61,2,9.88,40,1,8,3,"<8,40>"
"exp4",34,61,3,10.68,40,1,8,3,"<8,40>"
"exp4",35,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",35,24,1,9,20,1,8,1,"<8,20>"
"exp4",35,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",35,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",35,50,0,2,20,NA,NA,2,"<2,20>"
"exp4",35,50,1,3,20,1,2,2,"<2,20>"
"exp4",35,50,2,3.66,20,1,2,2,"<2,20>"
"exp4",35,50,3,3.66,20.4,2,8,2,"<2,20>"
"exp4",35,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",35,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",35,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",35,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",36,24,0,8,20,NA,NA,1,"<8,20>"
